numero,nombre,tipo,contacto,cargo,correo electronico,telefono,ciudad,pais,observaciones,razon social,tipo de contribuyente,cuit,alta,baja,activo,frecuencia,importe,nro de cuenta,nombre de cuenta,descripcion
D00003,Grupo Delta,Empresa,Contacto C,-,grupodelta@example.com,(011) 5000-0003,Buenos Aires,Argentina,Observacion 3,S.R.L.,Responsable Inscripto,22-34567890-1,2024-06-08,,True,Anual,276920.0,403101,Donaciones Personales no recurrentes,varios
D00005,Vanguardia Consultora,Empresa,Contacto E,-,vanguardiaconsultora@example.com,(011) 5000-0005,Buenos Aires,Argentina,Observacion 5,S.R.L.,Responsable Inscripto,24-56789012-3,2024-05-29,,True,Bimestral,352572.0,403101,Donaciones Personales no recurrentes,varios
D00007,NexGen Industries,Empresa,Contacto G,-,nexgenindustries@example.com,(011) 5000-0007,Buenos Aires,Argentina,Observacion 7,S.R.L.,Responsable Inscripto,26-78901234-5,2024-06-26,,True,Mensual,344730.0,402101,Ingresos Institucionales mensuales,varios
D00008,RedHorizonte,Empresa,Contacto H,-,redhorizonte@example.com,(011) 5000-0008,Buenos Aires,Argentina,Observacion 8,S.R.L.,Monotributista,27-89012345-6,2024-02-25,,True,Bimestral,489625.0,403101,Donaciones Personales no recurrentes,varios
D00009,Optima Logistica,Empresa,Contacto I,-,optimalogistica@example.com,(011) 5000-0009,Buenos Aires,Argentina,Observacion 9,S.R.L.,Responsable Inscripto,28-90123456-7,2024-05-17,,True,Anual,428367.0,403101,Donaciones Personales no recurrentes,varios
D00010,Punto Verde,Empresa,Contacto J,-,puntoverde@example.com,(011) 5000-0010,Buenos Aires,Argentina,Observacion 10,S.R.L.,Monotributista,29-01234567-8,2024-04-01,,True,Mensual,362840.0,402101,Ingresos Institucionales mensuales,varios
D00012,CreaTech S.R.L.,Empresa,Contacto L,-,createchs.r.l.@example.com,(011) 5000-0012,Buenos Aires,Argentina,Observacion 12,S.R.L.,Monotributista,21-23456780-1,2024-04-15,,True,Anual,175310.0,403101,Donaciones Personales no recurrentes,varios
D00014,ServiNet,Empresa,Contacto N,-,servinet@example.com,(011) 5000-0014,Buenos Aires,Argentina,Observacion 14,S.A.,Monotributista,23-45678902-3,2024-06-05,,True,Bimestral,244263.0,403101,Donaciones Personales no recurrentes,varios
D00016,MaxiData,Empresa,Contacto P,-,maxidata@example.com,(011) 5000-0016,Buenos Aires,Argentina,Observacion 16,S.A.,Monotributista,25-67890124-5,2024-04-07,,True,Mensual,483186.0,402101,Ingresos Institucionales mensuales,varios
D00018,Sigma Consulting,Empresa,Contacto R,-,sigmaconsulting@example.com,(011) 5000-0018,Buenos Aires,Argentina,Observacion 18,S.A.,Monotributista,27-89012346-7,2024-03-30,,True,Anual,191824.0,403101,Donaciones Personales no recurrentes,varios
D00021,Grupo Synthesis,Empresa,Contacto U,-,gruposynthesis@example.com,(011) 5000-0021,Buenos Aires,Argentina,Observacion 21,S.A.,Responsable Inscripto,20-12345680-1,2024-04-16,,True,Anual,359387.0,403101,Donaciones Personales no recurrentes,varios
D00023,SmartTech Argentina,Empresa,Contacto W,-,smarttechargentina@example.com,(011) 5000-0023,Buenos Aires,Argentina,Observacion 23,S.A.,Responsable Inscripto,22-34567892-3,2024-05-30,,True,Bimestral,333679.0,403101,Donaciones Personales no recurrentes,varios
D00024,NovaVision,Empresa,Contacto X,-,novavision@example.com,(011) 5000-0024,Buenos Aires,Argentina,Observacion 24,S.A.,Monotributista,23-45678903-4,2024-05-31,,True,Anual,152261.0,403101,Donaciones Personales no recurrentes,varios
D00025,InfoMatica S.A.,Empresa,Contacto Y,-,infomaticas.a.@example.com,(011) 5000-0025,Buenos Aires,Argentina,Observacion 25,S.A.,Responsable Inscripto,24-56789014-5,2024-06-08,,True,Mensual,309782.0,402101,Ingresos Institucionales mensuales,varios
D00026,Energia VIVA,Empresa,Contacto Z,-,energiaviva@example,(011) 5000-0026,Buenos Aires,Argentina,Observacion 26,S.A.,Monotributista,25-67890125-6,2024-06-13,,True,Bimestral,270140.0,403101,Donaciones Personales no recurrentes,varios
D00027,TransWorld,Empresa,Contacto AA,-,transworld@example.com,(011) 5000-0027,Buenos Aires,Argentina,Observacion 27,S.A.,Responsable Inscripto,26-78901236-7,2024-06-05,,True,Anual,414446.0,403101,Donaciones Personales no recurrentes,varios
D00029,GlobalNet,Empresa,Contacto CC,-,globalnet@example.com,(011) 5000-0029,Buenos Aires,Argentina,Observacion 29,S.R.L.,Responsable Inscripto,28-90123458-9,2024-06-18,,True,Bimestral,272633.0,403101,Donaciones Personales no recurrentes,varios
D00031,InnovarX,Empresa,Contacto EE,-,innovarx@example.com,(011) 5000-0031,Buenos Aires,Argentina,Observacion 31,S.R.L.,Responsable Inscripto,20-12345681-3,2024-06-05,,True,Mensual,189438.0,402101,Ingresos Institucionales mensuales,varios
D00032,Cobra Solutions,Empresa,Contacto FF,-,cobrasolutions@example.com,(011) 5000-0032,Buenos Aires,Argentina,Observacion 32,S.R.L.,Monotributista,21-23456782-4,2024-05-07,,True,Bimestral,115526.0,403101,Donaciones Personales no recurrentes,varios
D00033,Metropolis S.A.,Empresa,Contacto GG,-,metropoliss.a.@example.com,(011) 5000-0033,Buenos Aires,Argentina,Observacion 33,S.A.,Responsable Inscripto,22-34567893-5,2024-04-21,,True,Anual,154409.0,403101,Donaciones Personales no recurrentes,varios
D00034,Vortex Energia,Empresa,Contacto HH,-,vortexenergia@example.com,(011) 5000-0034,Buenos Aires,Argentina,Observacion 34,S.R.L.,Monotributista,23-45678904-6,2024-06-01,,True,Mensual,380153.0,402101,Ingresos Institucionales mensuales,varios
D00036,NexuTech,Empresa,Contacto JJ,-,nexutech@example.com,(011) 5000-0036,Buenos Aires,Argentina,Observacion 36,S.R.L.,Monotributista,25-67890126-8,2024-03-31,,True,Anual,385421.0,403101,Donaciones Personales no recurrentes,varios
D00038,MetroLogistica,Empresa,Contacto LL,-,metrologistica@example.com,(011) 5000-0038,Buenos Aires,Argentina,Observacion 38,S.R.L.,Monotributista,27-89012348-0,2024-05-20,,True,Bimestral,259341.0,403101,Donaciones Personales no recurrentes,varios
