numero,nombre,tipo,contacto,cargo,correo electronico,telefono,ciudad,pais,observaciones,razon social,tipo de contribuyente,cuit,alta,baja,activo,frecuencia,importe,nro de cuenta,nombre de cuenta,descripcion
D00001,TechNova Solutions,Empresa,Contacto A,-,technovasolutions@example.com,(011) 5000-0001,Buenos Aires,Argentina,Observacion 1,S.R.L.,Responsable Inscripto,20-12345678-9,2024-02-26,2024-04-01,False,Mensual,292732.0,402101,Ingresos Institucionales mensuales,varios
D00002,EnergiaPlus S.A.,Empresa,Contacto B,-,energiapluss.a.@example.com,(011) 5000-0002,Buenos Aires,Argentina,Observacion 2,S.A.,Monotributista,21-23456789-0,2024-01-12,2024-04-01,False,Bimestral,326439.0,403101,Donaciones Personales no recurrentes,varios
D00004,Inova Global,Empresa,Contacto D,-,inovaglobal@example,(011) 5000-0004,Buenos Aires,Argentina,Observacion 4,S.R.L.,Monotributista,23-45678901-2,2024-02-11,2024-04-01,False,Mensual,406733.0,402101,Ingresos Institucionales mensuales,varios
D00006,EcoTech Argentina,Empresa,Contacto F,-,ecotechargentina@example.com,(011) 5000-0006,Buenos Aires,Argentina,Observacion 6,S.R.L.,Monotributista,25-67890123-4,2024-02-07,2024-04-01,False,Anual,499223.0,403101,Donaciones Personales no recurrentes,varios
D00011,Zenith Digital,Empresa,Contacto K,-,zenithdigital@example.com,(011) 5000-0011,Buenos Aires,Argentina,Observacion 11,S.R.L.,Responsable Inscripto,20-12345679-0,2024-03-16,2024-04-01,False,Bimestral,152834.0,403101,Donaciones Personales no recurrentes,varios
D00013,Alfa Innovaciones,Empresa,Contacto M,-,alfainnovaciones@example.com,(011) 5000-0013,Buenos Aires,Argentina,Observacion 13,S.R.L.,Responsable Inscripto,22-34567891-2,2024-02-04,2024-04-01,False,Mensual,417633.0,402101,Ingresos Institucionales mensuales,varios
D00013,Alfa Innovaciones,Empresa,Contacto M,-,alfainnovaciones@example.com,(011) 5000-0013,Buenos Aires,Argentina,Observacion 13,S.R.L.,Responsable Inscripto,22-34567891-2,2024-02-04,2024-04-01,False,Mensual,169763.0,402101,Ingresos Institucionales mensuales,varios
D00015,AeroPlus,Empresa,Contacto O,-,aeroplus@example,(011) 5000-0015,Buenos Aires,Argentina,Observacion 15,S.A.,Responsable Inscripto,24-56789013-4,2024-03-23,2024-04-01,False,Anual,109935.0,403101,Donaciones Personales no recurrentes,varios
D00017,EcoAventura,Empresa,Contacto Q,-,ecoaventura@example.com,(011) 5000-0017,Buenos Aires,Argentina,Observacion 17,S.A.,Responsable Inscripto,26-78901235-6,2024-03-29,2024-04-01,False,Bimestral,349289.0,403101,Donaciones Personales no recurrentes,varios
D00019,Soluciones Avanzadas,Empresa,Contacto S,-,solucionesavanzadas@example.com,(011) 5000-0019,Buenos Aires,Argentina,Observacion 19,S.A.,Responsable Inscripto,28-90123457-8,2024-01-01,2024-04-01,False,Mensual,349612.0,402101,Ingresos Institucionales mensuales,varios
D00020,RedSol Argentina,Empresa,Contacto T,-,redsolargentina@example.com,(011) 5000-0020,Buenos Aires,Argentina,Observacion 20,S.A.,Monotributista,29-01234568-9,2024-03-04,2024-04-01,False,Bimestral,452948.0,403101,Donaciones Personales no recurrentes,varios
D00022,DeltaElectro,Empresa,Contacto V,-,deltaelectro@example.com,(011) 5000-0022,Buenos Aires,Argentina,Observacion 22,S.A.,Monotributista,21-23456781-2,2024-02-04,2024-04-01,False,Mensual,453421.0,402101,Ingresos Institucionales mensuales,varios
D00028,Soluciones Urbanas,Empresa,Contacto BB,-,solucionesurbanas@example.com,(011) 5000-0028,Buenos Aires,Argentina,Observacion 28,S.R.L.,Monotributista,27-89012347-8,2024-01-27,2024-04-01,False,Mensual,218575.0,402101,Ingresos Institucionales mensuales,varios
D00030,FuturoTech,Empresa,Contacto DD,-,futurotech@example.com,(011) 5000-0030,Buenos Aires,Argentina,Observacion 30,S.R.L.,Monotributista,29-01234569-0,2024-01-22,2024-04-01,False,Anual,445169.0,403101,Donaciones Personales no recurrentes,varios
D00035,EcoVision,Empresa,Contacto II,-,ecovision@example.com,(011) 5000-0035,Buenos Aires,Argentina,Observacion 35,S.R.L.,Responsable Inscripto,24-56789015-7,2024-03-13,2024-04-01,False,Bimestral,398095.0,403101,Donaciones Personales no recurrentes,varios
D00037,AlphaSystems,Empresa,Contacto KK,-,alphasystems@example.com,(011) 5000-0037,Buenos Aires,Argentina,Observacion 37,S.R.L.,Responsable Inscripto,26-78901237-9,2024-02-01,2024-04-01,False,Mensual,397090.0,402101,Ingresos Institucionales mensuales,varios
D00041,Jaan Perez,Individuo,Contacto OO,Secretario,jaanperez@example.com,(011) 5000-0041,Buenos Aires,Argentina,Observacion 41,-,Monotributista,20-12345682-4,2024-02-29,2024-04-01,False,Bimestral,86846.0,403101,Donaciones Personales no recurrentes,varios
D00046,Gabriela Ortiz,Individuo,Contacto TT,Asistente,gabrielaortiz@example.com,(011) 5000-0046,Buenos Aires,Argentina,Observacion 46,-,Responsable Inscripto,25-67890127-9,2024-03-15,2024-04-01,False,Mensual,55258.0,402102,Donaciones Personales mensuales,varios
D00050,Isabel Rios,Individuo,Contacto XX,Gerente,isabelrios@example.com,(011) 5000-0050,Buenos Aires,Argentina,Observacion 50,-,Monotributista,29-01234571-3,2024-01-30,2024-04-01,False,Bimestral,151978.0,403101,Donaciones Personales no recurrentes,varios
D00052,Monica Leon,Individuo,Contacto ZZ,Asistente,monicaleon@example.com,(011) 5000-0052,Buenos Aires,Argentina,Observacion 52,-,Responsable Inscripto,21-23456784-7,2024-02-04,2024-04-01,False,Mensual,102271.0,403101,Donaciones Personales no recurrentes,varios
D00057,Mario Espinoza,Individuo,Contacto EEE,Coordinador,marioespinoza@example.com,(011) 5000-0057,Buenos Aires,Argentina,Observacion 57,-,Exento,26-78901229-2,2024-02-06,2024-04-01,False,Anual,114077.0,403101,Donaciones Personales no recurrentes,varios
D00058,Rosa Cardenas,Individuo,Contacto FFF,Asistente,rosacardenas@example.com,(011) 5000-0058,Buenos Aires,Argentina,Observacion 58,-,Responsable Inscripto,27-89012330-3,2024-03-04,2024-04-01,False,Mensual,174259.0,402102,Donaciones Personales mensuales,varios
D00061,Felipe Rojas,Individuo,Contacto III,Director,feliperojas@example.com,(011) 5000-0061,Buenos Aires,Argentina,Observacion 61,-,Responsable Inscripto,20-12345684-7,2024-03-17,2024-04-01,False,Mensual,104373.0,402102,Donaciones Personales mensuales,varios
D00063,Esteban Rosales,Individuo,Contacto KKK,Coordinador,estebanrosales@example.com,(011) 5000-0063,Buenos Aires,Argentina,Observacion 63,-,Exento,22-34567896-9,2024-01-29,2024-04-01,False,Anual,99055.0,403101,Donaciones Personales no recurrentes,varios
D00066,Laura Marquez,Individuo,Contacto NNN,Analista,lauramarquez@example.com,(011) 5000-0066,Buenos Aires,Argentina,Observacion 66,-,Exento,25-67890129-2,2024-02-01,2024-04-01,False,Anual,117232.0,403101,Donaciones Personales no recurrentes,varios
D00068,Viviana Herrera,Individuo,Contacto PPP,Gerente,vivianaherrera@example.com,(011) 5000-0068,Buenos Aires,Argentina,Observacion 68,-,Monotributista,27-89012331-4,2024-01-26,2024-04-01,False,Bimestral,186202.0,403101,Donaciones Personales no recurrentes,varios
D00068,Viviana Herrera,Individuo,Contacto PPP,Gerente,vivianaherrera@example.com,(011) 5000-0068,Buenos Aires,Argentina,Observacion 68,-,Monotributista,27-89012331-4,2024-01-26,2024-04-01,False,Bimestral,173157.0,403101,Donaciones Personales no recurrentes,varios
D00069,Agustin Martinez,Individuo,Contacto QQQ,Coordinador,agustinmartinez@example,(011) 5000-0069,Buenos Aires,Argentina,Observacion 69,-,Exento,28-90123462-5,2024-02-17,2024-04-01,False,Anual,109167.0,403101,Donaciones Personales no recurrentes,varios
D00074,Mia Morales,Individuo,Contacto VVV,Gerente,miamorales@example.com,(011) 5000-0074,Buenos Aires,Argentina,Observacion 74,-,Monotributista,23-45678908-1,2024-02-19,2024-04-01,False,Bimestral,173825.0,403101,Donaciones Personales no recurrentes,varios
D00075,Carlos Gomez,Individuo,Contacto WWW,Coordinador,carlosgomez@example.com,(011) 5000-0075,Buenos Aires,Argentina,Observacion 75,-,Exento,24-56789019-2,2024-02-02,2024-04-01,False,Anual,166200.0,403101,Donaciones Personales no recurrentes,varios
D00078,Julia Gonzalez,Individuo,Contacto ZZZ,Analista,juliagonzalez@example.com,(011) 5000-0078,Buenos Aires,Argentina,Observacion 78,-,Exento,27-89012332-5,2024-03-13,2024-04-01,False,Anual,90786.0,403101,Donaciones Personales no recurrentes,varios
D00079,Ricardo Lopez,Individuo,Contacto AAAA,Director,ricardolopez@example.com,(011) 5000-0079,Buenos Aires,Argentina,Observacion 79,-,Responsable Inscripto,28-90123463-6,2024-03-06,2024-04-01,False,Mensual,188151.0,403101,Donaciones Personales no recurrentes,varios
D00081,Martin Vargas,Individuo,Contacto CCCC,Coordinador,martinvargas@example.com,(011) 5000-0081,Buenos Aires,Argentina,Observacion 81,-,Exento,20-12345686-0,2024-02-16,2024-04-01,False,Anual,165727.0,403101,Donaciones Personales no recurrentes,varios
D00083,alejandra Pena,Individuo,Contacto EEEE,Secretario,alejandrapena@example,(011) 5000-0083,Buenos Aires,Argentina,Observacion 83,-,Monotributista,22-34567898-2,2024-03-15,2024-04-01,False,Bimestral,76383.0,403101,Donaciones Personales no recurrentes,varios
D00085,Veronica Ruiz,Individuo,Contacto GGGG,Director,veronicaruiz@example.com,(011) 5000-0085,Buenos Aires,Argentina,Observacion 85,-,Responsable Inscripto,24-56789020-4,2024-02-08,2024-04-01,False,Mensual,63095.0,402102,Donaciones Personales mensuales,varios
D00087,Patricia Gomez,Individuo,Contacto IIII,Coordinador,patriciagomez@example.com,(011) 5000-0087,Buenos Aires,Argentina,Observacion 87,-,Exento,26-78901232-6,2024-02-22,2024-04-01,False,Anual,125419.0,403101,Donaciones Personales no recurrentes,varios
D00092,Hugo Fernandez,Individuo,Contacto NNNN,Gerente,hugofernandez@example.com,(011) 5000-0092,Buenos Aires,Argentina,Observacion 92,-,Monotributista,21-23456788-1,2024-03-09,2024-04-01,False,Bimestral,123679.0,403101,Donaciones Personales no recurrentes,varios
D00093,Diana Morales,Individuo,Contacto OOOO,Coordinador,dianamorales@example.com,(011) 5000-0093,Buenos Aires,Argentina,Observacion 93,-,Exento,22-34567889-2,2024-01-29,2024-04-01,False,Anual,126605.0,403101,Donaciones Personales no recurrentes,varios
D00095,Margarita Jimenez,Individuo,Contacto QQQQ,Secretario,margaritajimenez@example,(011) 5000-0095,Buenos Aires,Argentina,Observacion 95,-,Monotributista,24-56789001-4,2024-02-22,2024-04-01,False,Bimestral,195855.0,403101,Donaciones Personales no recurrentes,varios
D00099,Belen Gomez,Individuo,Contacto UUUU,Coordinador,belengomez@example.com,(011) 5000-0099,Buenos Aires,Argentina,Observacion 99,-,Exento,28-90123455-8,2024-01-25,2024-04-01,False,Anual,162961.0,403101,Donaciones Personales no recurrentes,varios
D00100,Roberto Morales,Individuo,Contacto VVVV,Asistente,robertomorales@example.com,(011) 5000-0100,Buenos Aires,Argentina,Observacion 100,-,Responsable Inscripto,29-01234576-9,2024-02-26,2024-04-01,False,Mensual,156325.0,402102,Donaciones Personales mensuales,varios
