numero proveedor,nombre proveedor,cuit,categoria proveedor,tipo de contribuyente,observaciones,contacto,correo electronico,telefono,razon social,importe,fecha,nro_cuenta,ciudad,pais,nombre de cuenta,descripcion,mes
P00100,Gabriela Morales,30-98765437-1,Materiales,Monotributista,-,Gabriela Morales,gabriela.morales@empresa.com,0123-4567,S.R.L.,11660.0,2024-01-31,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",enero
P00099,Servicios Repuestos,30-45678910-0,Servicios,Responsable Inscripto,-,Servicios Repuestos,servicios.repuestos@correo.com,9012-3456,S.A.,229885.0,2024-05-26,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",mayo
P00098,Consultora Alpha,30-32165492-9,Materiales,Monotributista,-,Consultora Alpha,consultora.alpha@correo.com,8901-2345,S.R.L.,158472.0,2024-04-04,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",abril
P00097,Proveedora Consultora,30-19283755-8,Servicios,Responsable Inscripto,-,Proveedora Consultora,proveedora.consultora@empresa.com,7890-1234,S.A.,56026.0,2024-03-16,514100,Mendoza,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",marzo
P00096,Mariana Fernandez,30-86430987-7,Materiales,Monotributista,-,Mariana Fernandez,mariana.fernandez@correo.com,6789-0123,S.R.L.,197447.0,2024-03-04,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00095,Servicios Consultores,30-97531256-6,Servicios,Responsable Inscripto,-,Servicios Consultores,servicios.consultores@correo.com,5678-9012,S.A.,176507.0,2024-03-30,506100,Buenos Aires,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",marzo
P00094,Gabriela Martinez,30-24681366-5,Agente Impositivo,Monotributista,-,Gabriela Martinez,gabriela.martinez@empresa.com,4567-8901,S.R.L.,220046.0,2024-03-02,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",marzo
P00093,Servicios Proveedores,30-13579253-4,Servicios,Responsable Inscripto,-,Servicios Proveedores,servicios.proveedores@correo.com,3456-7890,S.A.,151263.0,2024-06-27,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",junio
P00092,Consultora Zeta,30-86430986-3,Servicios,Monotributista,-,Consultora Zeta,consultora.zeta@empresa.com,2345-6789,S.R.L.,19014.0,2024-01-19,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",enero
P00091,Pedro Morales,30-97531255-2,Agente Impositivo,Responsable Inscripto,-,Pedro Morales,pedro.morales@correo.com,1234-5678,S.A.,193959.0,2024-04-18,514100,Mendoza,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",abril
P00089,Mariana Morales,30-13579252-0,Servicios,Responsable Inscripto,-,Mariana Morales,mariana.morales@correo.com,9012-3456,S.A.,243339.0,2024-01-18,506100,Buenos Aires,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",enero
P00087,Consultora Zeta SRL,30-97531254-8,Servicios,Responsable Inscripto,-,Consultora Zeta,consultora.zeta@correo.com,7890-1234,S.R.L.,171619.0,2024-03-19,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",marzo
P00086, Ana Gomez,30-45678909-7,Servicios,Monotributista,-,Ana Gomez,ana.gomez@empresa.com,6789-0123,S.R.L.,110248.0,2024-02-28,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",febrero
P00085,Estudio Consultores,30-32165491-6,Materiales,Responsable Inscripto,-,Estudio Consultores,estudio.consultores@correo.com,5678-9012,S.A.,60583.0,2024-06-09,514100,Mendoza,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",junio
P00084,Fernando Perez,30-19283754-5,Servicios,Monotributista,-,Fernando Perez,fernando.perez@correo.com,4567-8901,S.R.L.,202128.0,2024-02-12,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",febrero
P00083,Proveedora Gamma,30-86430984-4,Materiales,Responsable Inscripto,-,Proveedora Gamma,proveedora.gamma@empresa.com,3456-7890,S.A.,138336.0,2024-02-12,506100,Buenos Aires,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",febrero
P00082,Gabriela Torres,30-97531253-3,Servicios,Monotributista,-,Gabriela Torres,gabriela.torres@correo.com,2345-6789,S.R.L.,130478.0,2024-05-16,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",mayo
P00081,Estudio Juridico Zeta,30-24681364-2,Servicios,Responsable Inscripto,-,Estudio Juridico,estudio.zeta@correo.com,1234-5678,S.A.,98664.0,2024-04-01,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",abril
P00080,Consultora Beta SRL,30-13579251-1,Servicios,Monotributista,-,Consultora Beta,consultora.beta@correo.com,0123-4567,S.R.L.,248564.0,2024-06-22,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",junio
P00080,Consultora Beta SRL,30-13579251-1,Servicios,Monotributista,-,Consultora Beta,consultora.beta@correo.com,0123-4567,S.R.L.,19483.0,2024-01-12,514100,Mendoza,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",enero
P00079,Ana Morales,30-86430983-0,Agente Impositivo,Responsable Inscripto,-,Ana Morales,ana.morales@correo.com,9012-3456,S.A.,38459.0,2024-05-21,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00078,Servicios Gamma S.A.,30-97531252-9,Materiales,Monotributista,-,Servicios Gamma,servicios.gamma@correo.com,8901-2345,S.R.L.,143033.0,2024-04-08,506100,Buenos Aires,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",abril
P00077,Javier Rodriguez,30-45678908-8,Servicios,Responsable Inscripto,-,Javier Rodriguez,javier.rodriguez@correo.com,7890-1234,S.A.,111243.0,2024-03-22,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",marzo
P00076,Repuestos Beta S.A.,30-32165490-7,Servicios,Monotributista,-,Repuestos Beta,repuestos.beta@empresa.com,6789-0123,S.R.L.,79911.0,2024-05-10,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",mayo
P00075,Servicios Alpha S.A.,30-19283753-6,Servicios,Responsable Inscripto,-,Servicios Alpha,servicios.alpha@correo.com,5678-9012,S.A.,30219.0,2024-05-03,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",mayo
P00074,Proveedora SRL,30-86430982-5,Agente Impositivo,Monotributista,-,Proveedora SRL,proveedora.srl@correo.com,4567-8901,S.R.L.,86825.0,2024-06-04,514100,Mendoza,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",junio
P00073,Andres Garcia,30-97531251-4,Materiales,Responsable Inscripto,-,Andres Garcia,andres.garcia@correo.com,3456-7890,S.A.,24573.0,2024-06-13,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",junio
P00072,Estudio Consultores,30-24681363-3,Servicios,Monotributista,-,Estudio Consultores,estudio.consultores@empresa.com,2345-6789,S.R.L.,39168.0,2024-02-06,506100,La Plata,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",febrero
P00071,Servicios Gamma,30-13579250-2,Agente Impositivo,Responsable Inscripto,-,Servicios Gamma,servicios.gamma@correo.com,1234-5678,S.A.,202261.0,2024-03-03,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",marzo
P00070,Mariana Lopez,30-98765436-1,Servicios,Monotributista,-,Mariana Lopez,mariana.lopez@correo.com,0123-4567,S.R.L.,66873.0,2024-03-11,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",marzo
P00069,Proveedores Beta,30-45678907-0,Servicios,Responsable Inscripto,-,Proveedores Beta,proveedores.beta@empresa.com,9012-3456,S.A.,123157.0,2024-06-21,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",junio
