Número,Nombre,Tipo,Contacto,Cargo,Correo Electrónico,Teléfono,Ciudad,Pais,Observaciones,Razon Social,Tipo de Contribuyente,CUIT,Alta,Baja,Activo,Frecuencia,Importe,Nro de Cuenta,Nombre de Cuenta,Descripción
D00001,TechNova Solutions,Empresa,Contacto A,-,technovasolutions@example.com,(011) 5000-0001,Buenos Aires,Argentina,Observación 1,S.R.L,Responsable Inscripto,20-12345678-9,26/2/2024,1/4/2024,NO,Mensual,"$292.732,00",402101,Ingresos Institucionales mensuales,
D00002,EnergiaPlus S.A.,Empresa,Contacto B,-,energiapluss.a.@example.com,(011) 5000-0002,Buenos Aires,Argentina,Observación 2,S.A,Monotributista,21-23456789-0,12/1/2024,1/4/2024,NO,Bimestral,"$326.439,00",403101,Donaciones Personales no recurrentes,
D00003,Grupo Delta,Empresa,Contacto C,-,grupodelta@example.com,(011) 5000-0003,Buenos Aires,Argentina,Observación 3,S.R.L,Responsable Inscripto,22-34567890-1,8/6/2024,,SI,Anual,"$276.920,00",403101,Donaciones Personales no recurrentes,
D00004,Inova Global,Empresa,Contacto D,-,inovaglobal@example,(011) 5000-0004,Buenos Aires,Argentina,Observación 4,S.R.L,Monotributista,23-45678901-2,11/2/2024,1/4/2024,NO,Mensual,"$406.733,00",402101,Ingresos Institucionales mensuales,
D00005,Vanguardia Consultora,Empresa,Contacto E,-,vanguardiaconsultora@example.com,(011) 5000-0005,Buenos Aires,Argentina,Observación 5,S.R.L,Responsable Inscripto,24-56789012-3,29/5/2024,,SI,Bimestral,"$352.572,00",403101,Donaciones Personales no recurrentes,
D00006,EcoTech Argentina,Empresa,Contacto F,-,ecotechargentina@example.com,(011) 5000-0006,Buenos Aires,Argentina,Observación 6,,Monotributista,25-67890123-4,7/2/2024,1/4/2024,NO,Anual,"$499.223,00",403101,Donaciones Personales no recurrentes,
D00007,NexGen Industries,Empresa,Contacto G,-,nexgenindustries@example.com,(011) 5000-0007,Buenos Aires,Argentina,Observación 7,S.R.L,Responsable Inscripto,26-78901234-5,26/6/2024,,SI,Mensual,"$344.730,00",402101,Ingresos Institucionales mensuales,
D00008,RedHorizonte,Empresa,Contacto H,-,redhorizonte@example.com,(011) 5000-0008,Buenos Aires,Argentina,Observación 8,S.R.L,Monotributista,27-89012345-6,25/2/2024,,SI,Bimestral,"$489.625,00",403101,Donaciones Personales no recurrentes,
D00009,Optima Logística,Empresa,Contacto I,-,optimalogistica@example.com,(011) 5000-0009,Buenos Aires,Argentina,Observación 9,S.R.L,Responsable Inscripto,28-90123456-7,17/5/2024,,SI,Anual,"$428.367,00",403101,Donaciones Personales no recurrentes,
D00010,Punto Verde,Empresa,Contacto J,-,puntoverde@example.com,(011) 5000-0010,Buenos Aires,Argentina,Observación 10,S.R.L,Monotributista,29-01234567-8,1/4/2024,,SI,Mensual,"$362.840,00",402101,Ingresos Institucionales mensuales,
