Número Proveedor,Nombre Proveedor,CUIT,Categoría Proveedor,Tipo de Contribuyente,Observaciones,Contacto,Correo Electrónico,Teléfono,Razón Social,Importe,Fecha,Nro_Cuenta,Ciudad,Pais,Nombre de Cuenta,Descripción,Mes
P00100,Gabriela Morales,30-98765437-1,Materiales,MONOTRIBUTISTA,,Gabriela Morales,gabriela.morales@empresa.com,0123-4567,S.R.L.,"$11.660,00",31/1/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",enero
P00099,Servicios Repuestos,30-45678910-0,Servicios,RESPONSABLE INSCRIPTO,,Servicios Repuestos,servicios.repuestos@correo.com,9012-3456,S.A.,"$229.885,00",26/5/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",mayo
P00098,Consultora Alpha,30-32165492-9,Materiales,MONOTRIBUTISTA,,Consultora Alpha,consultora.alpha@correo.com,8901-2345,S.R.L.,"$158.472,00",4/4/2024,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",abril
P00097,Proveedora Consultora,30-19283755-8,Servicios,RESPONSABLE INSCRIPTO,,Proveedora Consultora,proveedora.consultora@empresa.com,7890-1234,S.A.,"$56.026,00",16/3/2024,514100,Mendoza,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",marzo
P00096,Mariana Fernández,30-86430987-7,Materiales,MONOTRIBUTISTA,,Mariana Fernández,mariana.fernandez@correo.com,6789-0123,S.R.L.,"$197.447,00",4/3/2024,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00095,Servicios Consultores,30-97531256-6,Servicios,RESPONSABLE INSCRIPTO,,Servicios Consultores,servicios.consultores@correo.com,5678-9012,S.A.,"$176.507,00",30/3/2024,506100,Buenos Aires,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",marzo
P00094,Gabriela Martínez,30-24681366-5,Agente Impositivo,MONOTRIBUTISTA,,Gabriela Martínez,gabriela.martinez@empresa.com,4567-8901,S.R.L.,"$220.046,00",2/3/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",marzo
P00093,Servicios Proveedores,30-13579253-4,Servicios,RESPONSABLE INSCRIPTO,,Servicios Proveedores,servicios.proveedores@correo.com,3456-7890,S.A.,"$151.263,00",27/6/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",junio
P00092,Consultora Zeta,30-86430986-3,Servicios,MONOTRIBUTISTA,,Consultora Zeta,consultora.zeta@empresa.com,2345-6789,S.R.L.,"$19.014,00",19/1/2024,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",enero
P00091,Pedro Morales,30-97531255-2,Agente Impositivo,RESPONSABLE INSCRIPTO,,Pedro Morales,pedro.morales@correo.com,1234-5678,S.A.,"$193.959,00",18/4/2024,514100,Mendoza,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",abril
P00090,Servicios Consultora,NULL,Materiales,MONOTRIBUTISTA,,Servicios Consultora,servicios.consultora@empresa.com,0123-4567,S.R.L.,"$247.318,00",6/3/2024,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00089,Mariana Morales,30-13579252-0,Servicios,RESPONSABLE INSCRIPTO,,Mariana Morales,mariana.morales@correo.com,9012-3456,S.A.,"$243.339,00",18/1/2024,506100,Buenos Aires,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",enero
P00088,Repuestos & Co.,NULL,Agente Impositivo,MONOTRIBUTISTA,,Repuestos & Co.,repuestos.co@correo.com,8901-2345,S.R.L.,"$165.876,00",6/5/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",mayo
P00087,Consultora Zeta SRL,30-97531254-8,Servicios,RESPONSABLE INSCRIPTO,,Consultora Zeta,consultora.zeta@correo.com,7890-1234,S.R.L.,"$171.619,00",19/3/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",marzo
P00086, Ana Gómez,30-45678909-7,Servicios,MONOTRIBUTISTA,,Ana Gómez,ana.gomez@empresa.com,6789-0123,S.R.L.,"$110.248,00",28/2/2024,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",febrero
P00085,Estudio Consultores,30-32165491-6,Materiales,RESPONSABLE INSCRIPTO,,Estudio Consultores,estudio.consultores@correo.com,5678-9012,S.A.,"$60.583,00",9/6/2024,514100,Mendoza,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",junio
P00084,Fernando Pérez,30-19283754-5,Servicios,MONOTRIBUTISTA,,Fernando Pérez,fernando.perez@correo.com,4567-8901,S.R.L.,"$202.128,00",12/2/2024,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",febrero
P00083,Proveedora Gamma,30-86430984-4,Materiales,RESPONSABLE INSCRIPTO,,Proveedora Gamma,proveedora.gamma@empresa.com,3456-7890,S.A.,"$138.336,00",12/2/2024,506100,Buenos Aires,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",febrero
P00082,Gabriela Torres,30-97531253-3,Servicios,MONOTRIBUTISTA,,Gabriela Torres,gabriela.torres@correo.com,2345-6789,S.R.L.,"$130.478,00",16/5/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",mayo
P00081,Estudio Jurídico Zeta,30-24681364-2,Servicios,RESPONSABLE INSCRIPTO,,Estudio Jurídico,estudio.zeta@correo.com,1234-5678,S.A.,"$98.664,00",1/4/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",abril
P00080,Consultora Beta SRL,30-13579251-1,Servicios,MONOTRIBUTISTA,,Consultora Beta,consultora.beta@correo.com,0123-4567,S.R.L.,"$248.564,00",22/6/2024,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",junio
P00080,Consultora Beta SRL,30-13579251-1,Servicios,MONOTRIBUTISTA,,Consultora Beta,consultora.beta@correo.com,0123-4567,S.R.L.,"$19.483,00",12/1/2024,514100,Mendoza,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",enero
P00079,Ana Morales,30-86430983-0,Agente Impositivo,RESPONSABLE INSCRIPTO,,Ana Morales,ana.morales@correo.com,9012-3456,S.A.,"$38.459,00",21/5/2024,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00078,Servicios Gamma S.A.,30-97531252-9,Materiales,MONOTRIBUTISTA,,Servicios Gamma,servicios.gamma@correo.com,8901-2345,S.R.L.,"$143.033,00",8/4/2024,506100,Buenos Aires,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",abril
P00077,Javier Rodríguez,30-45678908-8,Servicios,RESPONSABLE INSCRIPTO,,Javier Rodríguez,javier.rodriguez@correo.com,7890-1234,S.A.,"$111.243,00",22/3/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",marzo
P00076,Repuestos Beta S.A.,30-32165490-7,Servicios,MONOTRIBUTISTA,,Repuestos Beta,repuestos.beta@empresa.com,6789-0123,S.R.L.,"$79.911,00",10/5/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",mayo
P00075,Servicios Alpha S.A.,30-19283753-6,Servicios,RESPONSABLE INSCRIPTO,,Servicios Alpha,servicios.alpha@correo.com,5678-9012,S.A.,"$30.219,00",3/5/2024,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",mayo
P00074,Proveedora SRL,30-86430982-5,Agente Impositivo,MONOTRIBUTISTA,,Proveedora SRL,proveedora.srl@correo.com,4567-8901,S.R.L.,"$86.825,00",4/6/2024,514100,Mendoza,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",junio
P00073,Andrés García,30-97531251-4,Materiales,RESPONSABLE INSCRIPTO,,Andrés García,andres.garcia@correo.com,3456-7890,S.A.,"$24.573,00",13/6/2024,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",junio
